Running_trial,num_heads,transformer_units,dense_units,dropout_rate,learning_rate,wavelet,level,val_r2,val_mse
1,2,64,128,0.2,0.000466665,sym2,2,0.972420692,104.7416763
2,6,64,64,0.1,0.000625578,haar,2,0.968964398,117.8683167
3,2,192,128,0.1,0.00126883,db2,2,0.971804857,107.080658
4,8,256,32,0.2,0.001113422,db3,4,0.969320178,116.5170898
5,2,64,64,0.1,0.002435149,coif1,4,0.968544543,119.4627991
6,8,128,64,0.2,0.003586483,haar,4,0.972457767,104.6009445
7,8,256,128,0.1,0.000250386,sym2,1,0.966301084,127.9830246
8,2,256,128,0.1,0.00055275,haar,2,0.972464085,104.5769958
9,2,64,96,0.2,0.009065729,haar,3,0.969606996,115.4278717
10,2,256,128,0.2,0.007219894,db4,3,0.974005282,98.72377014
11,6,192,96,0.1,0.000715999,sym2,3,0.973487079,100.6917191
12,4,256,128,0.2,0.000987373,coif1,1,0.97147572,108.3306046
13,8,128,96,0.1,0.005618878,sym2,1,0.974362612,97.3667984
14,6,256,128,0.1,0.002861257,db4,3,0.970944345,110.3487701
15,6,256,128,0.1,0.000304954,db4,3,0.970918059,110.448616
16,4,64,32,0.1,0.000951193,db4,2,0.970914721,110.4612122
17,4,256,64,0.2,0.005853305,haar,1,0.967606902,123.0237503
18,6,64,64,0.1,0.01,db2,3,0.970726311,111.1766968
19,8,256,32,0.2,0.01,sym2,4,0.963323712,139.2905426
20,2,64,64,0.1,0.01,sym2,1,0.973351002,101.2085724
21,2,256,128,0.2,0.00088038,haar,1,0.972849727,103.1124802
22,6,64,128,0.1,0.002495234,haar,1,0.975676656,92.37615204
23,6,64,32,0.1,0.005352959,coif1,2,0.968516469,119.5693741
24,8,256,96,0.2,0.01,db2,4,0.968578756,119.3329163
25,2,256,32,0.1,0.003687561,sym2,1,0.971567094,107.9835663
26,6,64,32,0.1,0.006633808,haar,1,0.965754986,130.0571747
27,6,128,96,0.2,0.006880618,sym2,2,0.96618706,128.4161682
28,8,256,128,0.2,0.001063046,coif1,3,0.9711532,109.5554962
29,4,256,64,0.1,0.01,haar,2,0.973443747,100.8564682
30,8,256,32,0.1,0.004696456,db3,4,0.972723603,103.5913696
31,8,64,128,0.1,0.001165496,db4,3,0.976225853,90.2904129
32,2,256,64,0.2,0.01,coif1,1,0.963475883,138.7128296
33,2,64,128,0.2,0.009447583,db4,1,0.974858403,95.48371124
34,8,256,128,0.1,0.000399319,coif1,4,0.974434257,97.09455872
35,2,64,128,0.2,0.009961461,coif1,4,0.971319437,108.9241028
36,8,64,128,0.2,0.01,db2,4,0.956917882,163.6190796
37,2,64,32,0.2,0.008296523,coif1,2,0.961673975,145.556015
38,2,256,128,0.1,0.009717135,haar,4,0.973398268,101.0291977
39,8,256,32,0.2,0.003413846,coif1,1,0.963125348,140.0438995
40,8,256,128,0.1,0.00248893,haar,1,0.972646415,103.884552
41,8,256,128,0.2,0.01,db4,1,0.970905423,110.4964447
42,8,64,128,0.2,0.00088181,coif1,1,0.972907603,102.89254
43,2,64,128,0.1,0.007357079,haar,1,0.978095829,83.188591
44,2,256,32,0.1,0.01,coif1,4,0.971818089,107.0304108
45,8,256,32,0.1,0.01,coif1,1,0.971637666,107.7155533
46,8,256,32,0.2,0.01,haar,4,0.96877104,118.6025009
47,8,64,32,0.2,0.01,sym2,4,0.971081376,109.8282242
48,8,256,128,0.1,0.006075061,coif1,1,0.975377798,93.51111603
49,8,64,128,0.2,0.01,haar,1,0.969911397,114.2716599
50,8,64,128,0.2,0.01,coif1,4,0.972112358,105.9127502
